Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0xa584ddfa3e66547bde74d7d1cba06335035908ec48337b729ca5f911e78fa31e","Success","Batch Transfer","75380514","2026-01-15 08:29:54","0x3db77aa2E1EA12E978568581DB4c262306D8cB14","","0x3828Db59EA366F931d35e5657c4C7D3a84e8aa98","","10","$0.00","<img src='/assets/bsc/images/svg/empty-token.svg?v=26.3.2.0' width='18' height='18' class='rounded-circle'>BEP-20: uBTC"
"0x4158cc9f7673795efd8ce74583c3b8007ba02bd038b9620105637bc37e42bd18","Success","Batch Transfer","73334413","2025-12-29 10:09:31","0xE0B31AA9F1D392F95db28A5F0835059Fd955d77D","","0x3828Db59EA366F931d35e5657c4C7D3a84e8aa98","","8","$0.00","<img src='/assets/bsc/images/svg/empty-token.svg?v=26.3.2.0' width='18' height='18' class='rounded-circle'>BEP-20: FourFOX"
"0x8de049fead931470ea76af2066361db4bcbcdc223a41265881ee45558eb4ee3f","Success","Transfer","66341535","2025-10-29 16:57:10","0xdC5B6e1cA331012565528f3F5aaF9F638f56ae1B","","0x3828Db59EA366F931d35e5657c4C7D3a84e8aa98","","939.308","$0.00","<img src='/assets/bsc/images/svg/empty-token.svg?v=26.3.2.0' width='18' height='18' class='rounded-circle'>BEP-20: aPriori"
