Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x166d52208ff9ce3303734448e8d80769a4eb3ba2fe120cc62d744e47eb2a3b31","Success","Batch Claim Token","64952083","2025-10-17 15:06:51","0x64639A8bf25E11DE6a274F478C7835338869A4AD","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xf59ceb816e1ea93a73fd28b742f100c7cc4a50953586cff5e53f689edf522547","Success","Batch Claim Token","64952014","2025-10-17 15:05:59","0x64639A8bf25E11DE6a274F478C7835338869A4AD","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x375492eabdaaa5b7a25aa523144bc2393cd661473439f6b325aac9c95a79793d","Success","Batch Claim Token","64951947","2025-10-17 15:05:09","0x64639A8bf25E11DE6a274F478C7835338869A4AD","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xd26414f2e002b202b8d615be644f102a3d87fc581c1a6ebec7118671f0a4807f","Success","Batch Claim Token","53504623","2025-07-10 05:44:59","0x64639A8bf25E11DE6a274F478C7835338869A4AD","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0x2ab3614314cd3fe733220c336fd076dc0e96507d29ed1f1318bed08d246140d4","Success","Batch Claim Token","51257351","2025-06-11 08:21:56","0x64639A8bf25E11DE6a274F478C7835338869A4AD","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0xb9b7084cd04990c052ac4314ad1193b00dce091bd5e67f94f4eabce650bf77f0","Success","Batch Claim Token","49235120","2025-05-07 05:29:22","0x64639A8bf25E11DE6a274F478C7835338869A4AD","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00017424"
"0xd07d1f9db4ca6043966ad5f98fb0b8bb8c526a63851ecbf179fd0f4996e58fb2","Success","Transfer","48887448","2025-05-01 04:36:16","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x64639A8bf25E11DE6a274F478C7835338869A4AD","","0.0058 BNB","$5.17","0.0000378"
"0xaf6e7244b5d4d26fbde5e1a160d76f4ce306982fa9b5e344c9f6247746005972","Success","Transfer","48487848","2025-04-19 06:55:32","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x64639A8bf25E11DE6a274F478C7835338869A4AD","","0.01 BNB","$8.91","0.0000315"
