Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x9fc4900c878622f5476e91dcdec2debac4a145082d4cfedd4178e87a788e23e6","Success","Transfer","23889382","2025-11-27 10:13:35","0xd60f0fd7be06e1db8f01ced52f190591c4ddbaf2","","0x50f41F589aFACa2EF41FDF590FE7b90cD26DEe64","","0 ETH","$0.00","0.00000469"
"0x746bb2309537ab6443a6f971d329e63affca7fb3f67c6e2c7861f3d5d05155d0","Success","Claim","23876792","2025-11-25 15:47:23","0xd60f0fd7be06e1db8f01ced52f190591c4ddbaf2","","0x6f4aDC0f488d159D919f0001c27D3A6B8370D513","","0.00138312 ETH","$2.81","0.00031221"
"0xb94867c52a0b77896bee0b03cca0c8baa095dbc33c89f367ef2e769bb1218a4d","Success","Transfer","23866624","2025-11-24 05:24:47","0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23","Bitget 6","0xD60F0fd7BE06E1dB8F01CEd52F190591c4DDbaf2","","0.003464 ETH","$7.05","0.00000226"
