Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x4c3ddbcc1efb624b3493a17f3b002143be042ddd6f248bac42f18bebff39635d","Success","Batch Claim Token","64952094","2025-10-17 15:06:59","0x4cDb6721aCAf48a7D039Eb1c14972108cf9cAe49","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x39a16b450a30d84ce9187b7692ffe6d4e06fe53c085005e5977f5454aeed64a6","Success","Batch Claim Token","64952025","2025-10-17 15:06:08","0x4cDb6721aCAf48a7D039Eb1c14972108cf9cAe49","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xa0dedb9ed4792f7a847d6eaeb49c1d63f45dfe47fbf6a447a7f4ec8c4702a279","Success","Batch Claim Token","64951958","2025-10-17 15:05:17","0x4cDb6721aCAf48a7D039Eb1c14972108cf9cAe49","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xa2ec0089e2c96c3deb8b9875fdb69f45b2546fe8ff9bfdb2368b8037e3ed733e","Success","Batch Claim Token","53504624","2025-07-10 05:45:00","0x4cDb6721aCAf48a7D039Eb1c14972108cf9cAe49","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0xb989f0ca9267762de33e011b6acfe54cde43a997ff52f0df8e0b90f1dc3d9b25","Success","Batch Claim Token","51257352","2025-06-11 08:21:57","0x4cDb6721aCAf48a7D039Eb1c14972108cf9cAe49","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0x739e79f1a6d022b6829df1992d0ef2dfc7e20e4e507ac64078e38bcc0f666120","Success","Batch Claim Token","49235119","2025-05-07 05:29:21","0x4cDb6721aCAf48a7D039Eb1c14972108cf9cAe49","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.0001742"
"0x3ae9495b47686ff5fa864a69cbd35e087934693624068f5d5db127d42854f252","Success","Transfer","48887448","2025-05-01 04:36:16","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x4cDb6721aCAf48a7D039Eb1c14972108cf9cAe49","","0.0065 BNB","$3.96","0.0000378"
"0x4fbd81a7974e9c26423bbcf98f408041c3562249532e640357ceddd6dc920e36","Success","Transfer","48487850","2025-04-19 06:55:38","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x4cDb6721aCAf48a7D039Eb1c14972108cf9cAe49","","0.01 BNB","$6.09","0.0000315"
