Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
0x779f50fefc0375635a35a2a51e8652337939f9817d4e0fc36c4e401e34122b10,Success,Swap,23918408,2025/12/1 11:43,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0x306121f1344ac5f84760998484c0176d7bfb7134,Kyber: DMM USDC-USDT,10,$9.99 ,Tether USD(USDT)
0x8c2f0470b4e4a17ebd07911d9accafb12f2c29a92f1cef493e46a7ccfa44fefb,Success,Transfer,23918029,2025/12/1 10:26,0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,"3,500","$3,496.68 ",Tether USD(USDT)
0x0da12fdf32334e89a998c4b88ca2f41a5be5d33015f70d63a487294765b54a49,Success,Transfer,23875525,2025/11/25 11:30,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0xbd568ab063b7bf8072d44e760959edac79696e30,Binance Dep: 0xBd568ab063B7BF8072D44E760959EDaC79696E30,"2,000","$1,998.10 ",Tether USD(USDT)
0x924163ff20ebca27dc8ff2de7cadf5632e9878a93c9bdc231726b8330b399d44,Success,Transfer,23875490,2025/11/25 11:22,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0xeff09f2e6852a68054a1685f80d3b63024c38ad7,,"37,000",$695.07 ,Irys(IRYS)
0x56550df16b8a0e2946ac0998b32f8b5a21ccef03cd0a7352156ef25d07b16fb9,Success,Execute302,23875484,2025/11/25 11:21,0x0000000000000000000000000000000000000000,Null: 0x000...000,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,"37,000",$695.07 ,Irys(IRYS)
0xe262689a8b629ef84f6105ccc6dcef6c0145aa607b5ddf1cfca96bfd1312b29e,Success,Transfer,23875451,2025/11/25 11:15,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0xeff09f2e6852a68054a1685f80d3b63024c38ad7,,"19,870",$373.27 ,Irys(IRYS)
0x3356045b5b8fb1ef299ea0230edfa0086cb92f0b58fc0cf3f101c937c87d9d5b,Success,Execute302,23875450,2025/11/25 11:14,0x0000000000000000000000000000000000000000,Null: 0x000...000,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,"19,870",$373.27 ,Irys(IRYS)
0xecd31b754772878a368860a332c9fd15c5a0ffcc6a6cd10f07ede5dd11bd1fe5,Success,Transfer,23875420,2025/11/25 11:08,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0xeff09f2e6852a68054a1685f80d3b63024c38ad7,,"19,900",$373.83 ,Irys(IRYS)
0xb5a3a01db7c713c71d904fdfab3cb94f7a23f82ca11a97b564d58e317c598f9b,Success,Execute302,23875418,2025/11/25 11:08,0x0000000000000000000000000000000000000000,Null: 0x000...000,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,"19,900",$373.83 ,Irys(IRYS)
0xa3a8e3f9644fdefc07bc094e06b1577611a3191a5505acd2a37a10eba966be00,Success,Transfer,23875418,2025/11/25 11:08,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0xeff09f2e6852a68054a1685f80d3b63024c38ad7,,"14,200",$266.76 ,Irys(IRYS)
0xf9120ee8851e31df4f0f718fc13b24ed091d7f4678fdbab7a9a669cf8510a72c,Success,Execute302,23875416,2025/11/25 11:08,0x0000000000000000000000000000000000000000,Null: 0x000...000,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,"14,200",$266.76 ,Irys(IRYS)
