Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x9b01c1223a35e51404d92fabb8ec9008acc75d8b96ce72b42b8689d6ea5f6572","Success","Transfer","66341879","2025-10-29 17:01:28","0xC278fA61CF7e8e43fdC9782c88eD0682B39729a6","","0x53761196428373f7b2Fe4Fc5658aa8304735EB41","","0.00069306 BNB","$0.43","0.00000105"
"0x6e9da9d7e471e8a8b1b739d387ea82a9e05f8f1e10d8e46222841377203a3457","Success","Transfer","66341462","2025-10-29 16:56:15","0xC278fA61CF7e8e43fdC9782c88eD0682B39729a6","","0x299AD4299Da5b2b93Fba4c96967B040C7F611099","","0 BNB","$0.00","0.0000027"
"0xa1edb55617d78ca80aa5c1b534a8a9a1685c0a76c7806f4fb00ef95c49208436","Success","Claim","66334584","2025-10-29 15:30:17","0xC278fA61CF7e8e43fdC9782c88eD0682B39729a6","","0xdA914793C786fbb5AC0eFF7d301ad5061e5B2d3E","","0.0005 BNB","$0.31","0.00000718"
"0x98966a0c7700d0baf76184e93ec2f41808d5f3ea5d99ea2bcbe26cc95aac935a","Success","Transfer","66314709","2025-10-29 11:21:45","0x1FBe2AcEe135D991592f167Ac371f3DD893A508B","Binance: Hot Wallet 19","0xC278fA61CF7e8e43fdC9782c88eD0682B39729a6","","0.001204 BNB","$0.75","0.0000021"
