Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x3731586f512ccf9809d1d73774e1be6ab05ff4c52a325d2336358ad41f2f1b71","Success","Transfer","65884116","2025-10-25 17:38:36","0x92c25D8cd64A805efbf26f6B348E96db339C81Ea","","0x299AD4299Da5b2b93Fba4c96967B040C7F611099","","0 BNB","$0.00","0.0000027"
"0xc60a1c7eb122e00e952c9f418abed1b1cc640b99a0485df02d2169f70409c71e","Success","Claim","65731332","2025-10-24 09:48:31","0x92c25D8cd64A805efbf26f6B348E96db339C81Ea","","0xdA914793C786fbb5AC0eFF7d301ad5061e5B2d3E","","0.0005 BNB","$0.31","0.00000718"
"0xd1f2d97bb49b69dfef39cb125882e969037fec7651aa5a58240f25e7603fdefe","Success","Transfer","65708711","2025-10-24 05:05:43","0x1FBe2AcEe135D991592f167Ac371f3DD893A508B","Binance: Hot Wallet 19","0x92c25D8cd64A805efbf26f6B348E96db339C81Ea","","0.0019 BNB","$1.19","0.0000021"
