Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0x2db75c82983baf1174666a6813c7a226a3a9257d2d5c6fc62eca2191c5e72575","Success","Batch Transfer","75380405","2026-01-15 08:29:04","0x3db77aa2E1EA12E978568581DB4c262306D8cB14","","0xb2C30e4907be247c3944658e45888863b75CBD43","","10","$0.00","<img src='/assets/bsc/images/svg/empty-token.svg?v=26.3.2.0' width='18' height='18' class='rounded-circle'>BEP-20: uBTC"
"0x61dddcd4efee1898fecf99ff9da3abe991fb292c50ea06525f1ff8c0ee8ee095","Success","Batch Transfer","73334338","2025-12-29 10:08:34","0xE0B31AA9F1D392F95db28A5F0835059Fd955d77D","","0xb2C30e4907be247c3944658e45888863b75CBD43","","8","$0.00","<img src='/assets/bsc/images/svg/empty-token.svg?v=26.3.2.0' width='18' height='18' class='rounded-circle'>BEP-20: FourFOX"
"0x3e4527f9b9714431e499ffbcd06eb0a7b03bdf0a7a98f70a09dfd0ebced1dd9f","Success","Transfer","65884125","2025-10-25 17:38:43","0x34Fe512377ca5FDED0244496dF09eD3b38377146","","0xb2C30e4907be247c3944658e45888863b75CBD43","","939.3083333","$0.00","<img src='/assets/bsc/images/svg/empty-token.svg?v=26.3.2.0' width='18' height='18' class='rounded-circle'>BEP-20: aPriori"
