Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x807d67b59646499a1c192546e7b62849ac028f0e9ebb514386d8b80c87ed78cb","Success","Batch Claim Token","64952128","2025-10-17 15:07:25","0x2B9872fE1Cf487C153cDcC5674314A2D8d466817","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x3f6b606fc4a0a76412f3d71ef10d6262fd0526f794961dda870b3b7b1bde0ff6","Success","Batch Claim Token","64952061","2025-10-17 15:06:35","0x2B9872fE1Cf487C153cDcC5674314A2D8d466817","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xbaa4116e03d8fb3fe8e85c67a65588319ebddfb03ca3bd5d2ef58972c7c7d9a9","Success","Batch Claim Token","64951993","2025-10-17 15:05:44","0x2B9872fE1Cf487C153cDcC5674314A2D8d466817","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x88bd638170746941ce982632c384ec0599c8e88cd15fcbdd8b63c05ca4313b89","Success","Batch Claim Token","53504623","2025-07-10 05:44:59","0x2B9872fE1Cf487C153cDcC5674314A2D8d466817","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0xc69531b2ba705f7d23f0f0de4c34ac3b730642eb1e899be9d8b2eaaad0d0416e","Success","Batch Claim Token","51257352","2025-06-11 08:21:57","0x2B9872fE1Cf487C153cDcC5674314A2D8d466817","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001485"
"0x39af9e1f1e6fee02f5ec4f05f40ebba9d6185e9847245ca5408b5585ea72777b","Success","Batch Claim Token","49235120","2025-05-07 05:29:22","0x2B9872fE1Cf487C153cDcC5674314A2D8d466817","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00017424"
"0xb5fe23c96939912ed39ecb8959b715ebfc7435b2d38f74cae30be1fe4cb55807","Success","Transfer","48887458","2025-05-01 04:36:31","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x2B9872fE1Cf487C153cDcC5674314A2D8d466817","","0.0048 BNB","$4.31","0.0000315"
"0x0ea763260ce85267e93be07811d3cc87b1beb22fbaca66b0ad28326aa0862bc8","Success","Transfer","48487853","2025-04-19 06:55:47","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x2B9872fE1Cf487C153cDcC5674314A2D8d466817","","0.01 BNB","$8.99","0.00003559"
