Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0xe1ab5c1e5f66c84aee419b725aab9ccb7d371de9b0f8b12228c50bd36a456e0a","Success","Batch Transfer","75380627","2026-01-15 08:30:44","0x3db77aa2E1EA12E978568581DB4c262306D8cB14","","0x14CEdc01bF195E30931bc2DED4ecb7dE341f33b9","","10","$0.00","<img src='/assets/bsc/images/svg/empty-token.svg?v=26.3.2.0' width='18' height='18' class='rounded-circle'>BEP-20: uBTC"
"0x4158cc9f7673795efd8ce74583c3b8007ba02bd038b9620105637bc37e42bd18","Success","Batch Transfer","73334413","2025-12-29 10:09:31","0xE0B31AA9F1D392F95db28A5F0835059Fd955d77D","","0x14CEdc01bF195E30931bc2DED4ecb7dE341f33b9","","8","$0.00","<img src='/assets/bsc/images/svg/empty-token.svg?v=26.3.2.0' width='18' height='18' class='rounded-circle'>BEP-20: FourFOX"
"0x86db599b10dffaef17e8a63de8f0dfd2aa859647d7621b0ab37abebfc45b7d5f","Success","Transfer","66341691","2025-10-29 16:59:07","0xC36D2a36ad4D01B11e5Aa72bb969D0470aFf4eDC","","0x14CEdc01bF195E30931bc2DED4ecb7dE341f33b9","","939.308","$0.00","<img src='/assets/bsc/images/svg/empty-token.svg?v=26.3.2.0' width='18' height='18' class='rounded-circle'>BEP-20: aPriori"
