Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xd1d95ce5ab4cf9a65f099472ffe7c854a7b45777bb35f59edf1467d3ea352e31","Success","Transfer","23888008","2025-11-27 05:36:35","0x99b7936af1efddf4d93441c4e2270502617fa232","","0x50f41F589aFACa2EF41FDF590FE7b90cD26DEe64","","0 ETH","$0.00","0.00000469"
"0x1fdebb786850d52fc41e8714db6ff3be67ad8cbeaa93093ae421d7b34a61aa84","Success","Claim","23876956","2025-11-25 16:20:59","0x99b7936af1efddf4d93441c4e2270502617fa232","","0x6f4aDC0f488d159D919f0001c27D3A6B8370D513","","0.00138312 ETH","$2.86","0.00006047"
"0x6c43524a8fae789ebddbc80941ea3bd4397c251493c0f996732ab8100de9151e","Success","Transfer","23867594","2025-11-24 08:40:47","0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23","Bitget 6","0x99b7936aF1efDdF4d93441c4e2270502617FA232","","0.003387 ETH","$7.00","0.00000195"
