Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0x4368e94ace863ae65b6fda8387a048be2bb63a94cdc4ae143506d0cb9dfd521e","Success","Batch Transfer","75380764","2026-01-15 08:31:46","0x3db77aa2E1EA12E978568581DB4c262306D8cB14","","0x3E8dD14DF2f08C9Fe9b23F054eB6cCC01a23E148","","10","$0.00","<img src='/assets/bsc/images/svg/empty-token.svg?v=26.3.2.0' width='18' height='18' class='rounded-circle'>BEP-20: uBTC"
"0x6cae25d4ce6954ffa7ad1cfb8d9d117bfc0a856b9132d46ea21ade0cdd703f93","Success","Batch Transfer","73334539","2025-12-29 10:11:05","0xE0B31AA9F1D392F95db28A5F0835059Fd955d77D","","0x3E8dD14DF2f08C9Fe9b23F054eB6cCC01a23E148","","8","$0.00","<img src='/assets/bsc/images/svg/empty-token.svg?v=26.3.2.0' width='18' height='18' class='rounded-circle'>BEP-20: FourFOX"
"0x0efe5d910634e348cbfc813105128425abfe3b20d9bee3ee39ae7c57ec2b9409","Success","Transfer","66341363","2025-10-29 16:55:01","0x0F661802c8ec7f3bE9f76109e242D8efcbB502D4","","0x3E8dD14DF2f08C9Fe9b23F054eB6cCC01a23E148","","939.308","$0.00","<img src='/assets/bsc/images/svg/empty-token.svg?v=26.3.2.0' width='18' height='18' class='rounded-circle'>BEP-20: aPriori"
