Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x15bc9328c9e569b551302a62fca952f9af6ac657e598b6f1144d0f8160965f53","Success","Transfer","66225403","2025-10-28 16:45:19","0x6465534B084F176E2CA6A1c052d5d2b40E2F96DA","","0x1879565EA15516e369F9810080FCADf18514F54D","","0.00060406 BNB","$0.38","0.00000105"
"0x29d1f5463c47396998af24af6b6e76088a9885015cdf85532619bc544f134025","Success","Transfer","66224412","2025-10-28 16:32:56","0x6465534B084F176E2CA6A1c052d5d2b40E2F96DA","","0x299AD4299Da5b2b93Fba4c96967B040C7F611099","","0 BNB","$0.00","0.0000027"
"0x4ff73d62684d48615016c9b4130f2019a26d1734fcbcc3e2586b8b18442f1f03","Success","Claim","66222538","2025-10-28 16:09:30","0x6465534B084F176E2CA6A1c052d5d2b40E2F96DA","","0xdA914793C786fbb5AC0eFF7d301ad5061e5B2d3E","","0.0005 BNB","$0.32","0.00000718"
"0xcf73e6dd2ef69f51e4ec0ebe725620c98ba17796deaafd62b9a477788776796f","Success","Transfer","66220631","2025-10-28 15:45:40","0x01C952174C24E1210d26961D456A77A39e1F0BB0","Binance: Hot Wallet 23","0x6465534B084F176E2CA6A1c052d5d2b40E2F96DA","","0.001115 BNB","$0.70","0.0000021"
