Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x3e4527f9b9714431e499ffbcd06eb0a7b03bdf0a7a98f70a09dfd0ebced1dd9f","Success","Transfer","65884125","2025-10-25 17:38:43","0x34Fe512377ca5FDED0244496dF09eD3b38377146","","0x299AD4299Da5b2b93Fba4c96967B040C7F611099","","0 BNB","$0.00","0.0000027"
"0x1c50f3323c57dd9a0facb26d0c51f3fb19d8f17d9e96ff2dbe3faf09a98b713f","Success","Claim","65733735","2025-10-24 10:18:34","0x34Fe512377ca5FDED0244496dF09eD3b38377146","","0xdA914793C786fbb5AC0eFF7d301ad5061e5B2d3E","","0.0005 BNB","$0.32","0.00000718"
"0xba033bb6b18ea417c8bc6ce814137f1b7c82d0c40be621800f12aeea5e600eff","Success","Transfer","65729120","2025-10-24 09:20:51","0x01C952174C24E1210d26961D456A77A39e1F0BB0","Binance: Hot Wallet 23","0x34Fe512377ca5FDED0244496dF09eD3b38377146","","0.001258 BNB","$0.79","0.0000021"
