Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x8d90bc6dbe5299b4881b0530b44e2fcea50d706288fc05c5b8e6ff98bd486e55","Success","Transfer","66341938","2025-10-29 17:02:12","0x36b09293becA924cc4515B4Ca0623A20e470c71D","","0x3157365690203B282F479BDf0f69EF9dD39A0256","","0.00061506 BNB","$0.39","0.00000105"
"0x4abc455dd9f0ef746ae41a49001aead38391d840e3600f062ab314c2b5992e4f","Success","Transfer","66341622","2025-10-29 16:58:15","0x36b09293becA924cc4515B4Ca0623A20e470c71D","","0x299AD4299Da5b2b93Fba4c96967B040C7F611099","","0 BNB","$0.00","0.0000027"
"0xe7730034215df6ab6e9c81a1479aa516d512bd0ef8d003d1bbc44e5e6c529e0a","Success","Claim","66335102","2025-10-29 15:36:45","0x36b09293becA924cc4515B4Ca0623A20e470c71D","","0xdA914793C786fbb5AC0eFF7d301ad5061e5B2d3E","","0.0005 BNB","$0.32","0.00000718"
"0xe88d5b3611409067b08251d4278229f3c93f1a298cc1b75a50b9d18ea99b7380","Success","Transfer","66315815","2025-10-29 11:35:35","0x01C952174C24E1210d26961D456A77A39e1F0BB0","Binance: Hot Wallet 23","0x36b09293becA924cc4515B4Ca0623A20e470c71D","","0.001126 BNB","$0.71","0.0000021"
