Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0x4368e94ace863ae65b6fda8387a048be2bb63a94cdc4ae143506d0cb9dfd521e","Success","Batch Transfer","75380764","2026-01-15 08:31:46","0x3db77aa2E1EA12E978568581DB4c262306D8cB14","","0x0f77B4aFbE8781488F4C9dfD68D911849FFBB2CC","","10","$0.00","<img src='/assets/bsc/images/svg/empty-token.svg?v=26.3.2.0' width='18' height='18' class='rounded-circle'>BEP-20: uBTC"
"0x7de56e16ec3456ca7a7950790a4e6762347c1ab5ddab2b1848b9d9d3ac7e6853","Success","Batch Transfer","73334467","2025-12-29 10:10:11","0xE0B31AA9F1D392F95db28A5F0835059Fd955d77D","","0x0f77B4aFbE8781488F4C9dfD68D911849FFBB2CC","","8","$0.00","<img src='/assets/bsc/images/svg/empty-token.svg?v=26.3.2.0' width='18' height='18' class='rounded-circle'>BEP-20: FourFOX"
"0xa35506f3e6014a240367532de1bfd6bbf284ef0c49b6d8cf38f4fb0056704ec7","Success","Transfer","66321800","2025-10-29 12:50:26","0x0210468bB8c13D8B512C161B02F44899F8576D5F","","0x0f77B4aFbE8781488F4C9dfD68D911849FFBB2CC","","939.308","$0.00","<img src='/assets/bsc/images/svg/empty-token.svg?v=26.3.2.0' width='18' height='18' class='rounded-circle'>BEP-20: aPriori"
