Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xe5ba9c78737f32a40080851d9b26ed17c82e9922d268ef839e54a2785b84b112","Success","Batch Claim Token","64681355","2025-10-15 06:42:06","0x5cf1a2297469885a1A9201070D98b1358dee73E5","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x51edfbaeb2f6036972f8c5fc8aa4a3a09148dc712a4251a6481f2d286f9378a7","Success","Batch Claim Token","64681258","2025-10-15 06:40:54","0x5cf1a2297469885a1A9201070D98b1358dee73E5","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0xd96ac79432b73737055cbd07fad0cba5188475215b99ab48b3e80487f880f526","Success","Batch Claim Token","64681166","2025-10-15 06:39:45","0x5cf1a2297469885a1A9201070D98b1358dee73E5","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00000742"
"0x5c6e5f8fdcf3541f5de431625194dfce2d86c72c719f0cb272306225dc80bbc8","Success","Batch Claim Token","53504425","2025-07-10 05:42:30","0x5cf1a2297469885a1A9201070D98b1358dee73E5","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00001742"
"0xaf73475fa96e879901881209edbfac90c144a23f0c8bf3a8de2c32ebe71ad1c8","Success","Transfer","49955269","2025-05-19 17:38:03","0x5cf1a2297469885a1A9201070D98b1358dee73E5","","0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16","MYX Finance: MYX Token","0 BNB","$0.00","0.000006"
"0x38454c717b52d60b490b5d416114066296250e49d0dd80ad89fa4c369cf32c2b","Success","Batch Claim Token","49234809","2025-05-07 05:21:36","0x5cf1a2297469885a1A9201070D98b1358dee73E5","","0x8f0eb8903aaE4D170aaFb84f5FDb3805008Ab439","","0 BNB","$0.00","0.00017424"
"0xddf512ac83cb64c601122f7696393161e71c82ce2093d9918b435d8224d864e1","Success","Transfer","48832978","2025-04-30 05:53:46","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x5cf1a2297469885a1A9201070D98b1358dee73E5","","0.0071 BNB","$4.54","0.0000315"
"0x66f7e02818665a5b12a9d3ed86ac4dbf4598cad51642751ef0beeecaf2baa224","Success","Transfer","48487753","2025-04-19 06:50:47","0xf5988713400DA6fC8A58EC9515e2b0DF9B40B115","OKX 175","0x5cf1a2297469885a1A9201070D98b1358dee73E5","","0.01 BNB","$6.40","0.0000315"
