Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0xa584ddfa3e66547bde74d7d1cba06335035908ec48337b729ca5f911e78fa31e","Success","Batch Transfer","75380514","2026-01-15 08:29:54","0x3db77aa2E1EA12E978568581DB4c262306D8cB14","","0x53761196428373f7b2Fe4Fc5658aa8304735EB41","","10","$0.00","<img src='/assets/bsc/images/svg/empty-token.svg?v=26.3.2.0' width='18' height='18' class='rounded-circle'>BEP-20: uBTC"
"0x4158cc9f7673795efd8ce74583c3b8007ba02bd038b9620105637bc37e42bd18","Success","Batch Transfer","73334413","2025-12-29 10:09:31","0xE0B31AA9F1D392F95db28A5F0835059Fd955d77D","","0x53761196428373f7b2Fe4Fc5658aa8304735EB41","","8","$0.00","<img src='/assets/bsc/images/svg/empty-token.svg?v=26.3.2.0' width='18' height='18' class='rounded-circle'>BEP-20: FourFOX"
"0x6e9da9d7e471e8a8b1b739d387ea82a9e05f8f1e10d8e46222841377203a3457","Success","Transfer","66341462","2025-10-29 16:56:15","0xC278fA61CF7e8e43fdC9782c88eD0682B39729a6","","0x53761196428373f7b2Fe4Fc5658aa8304735EB41","","939.308","$0.00","<img src='/assets/bsc/images/svg/empty-token.svg?v=26.3.2.0' width='18' height='18' class='rounded-circle'>BEP-20: aPriori"
